input,output,complexity,model,strategy,duration_ms,sfc_bytes,sfc_lines,ast_depth_approx,parse_ok,input_tokens,cached_tokens,cache_discount,output_tokens,context_tokens,context_components,stop_reason,cost_usd,error
medium-6,6-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,12017.8437,3387,55,23,True,6398,0,,1466,0,0,stop,0.027456,
medium-7,7-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,6365.8278,1456,45,17,True,7133,0,,596,0,0,stop,0.020226,
medium-8,8-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,6585.3467,1562,56,11,True,6186,0,,605,0,0,stop,0.018422,
medium-9,9-b1-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b1,8842.485,2555,74,27,True,12365,0,,994,0,0,stop,0.03467,
simple-1,1-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,3514.5431,476,21,3,True,3880,0,,194,0,0,stop,0.0097,
simple-10,10-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,9859.7612,2413,76,20,True,11625,0,,966,0,0,stop,0.03291,
simple-2,2-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,4362.5591,513,23,7,True,2116,0,,220,0,0,stop,0.006432,
simple-3,3-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,4724.5297,558,28,3,True,5293,0,,247,0,0,stop,0.013056,
simple-4,4-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,9375.9396,1141,37,11,True,6391,0,,455,0,0,stop,0.017332,
simple-5,5-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,4777.9281,707,32,5,True,4282,0,,302,0,0,stop,0.011584,
simple-6,6-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,4787.1506,361,14,3,True,2483,0,,164,0,0,stop,0.006606,
simple-7,7-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,3137.7242,321,12,3,True,1763,0,,149,0,0,stop,0.005016,
simple-8,8-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,4489.5282,751,31,6,True,3870,0,,304,0,0,stop,0.01078,
simple-9,9-b1-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b1,5324.23,1112,37,12,True,5652,0,,487,0,0,stop,0.016174,
hard-1,1-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,8179.9347,1706,47,12,True,84062,0,,692,46713,5,stop,0.2112405,
hard-10,10-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,13635.5929,3433,112,20,True,93489,0,,1404,39206,3,stop,0.2304095,
hard-2,2-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,7204.9074,1579,64,12,True,50083,0,,669,20668,1,stop,0.1223,
hard-3,3-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,9295.1467,1949,76,17,True,126367,0,,793,51397,5,stop,0.299814,
hard-4,4-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,11170.3746,2466,90,12,True,82800,58783,,973,39206,3,stop,0.0695206,
hard-5,5-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,9037.8141,2444,67,26,True,60427,0,,942,31603,3,stop,0.1555015,
hard-6,6-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,4946.666,567,28,3,True,35106,0,,258,17949,2,stop,0.08668,
hard-7,7-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,9950.3284,2274,73,13,True,59158,0,,977,25693,5,stop,0.148392,
hard-8,8-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,8534.7023,1854,54,26,True,43351,0,,807,23361,3,stop,0.1131515,
hard-9,9-b2-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b2,11547.0197,2650,76,23,True,106147,0,,1072,57675,8,stop,0.268079,
medium-1,1-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,7601.5036,1702,52,16,True,61874,0,,631,35276,5,stop,0.1570395,
medium-10,10-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,6015.2538,1003,34,13,True,30335,0,,403,17281,3,stop,0.078054,
medium-2,2-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,10553.1006,3030,85,29,True,31549,0,,1163,7257,1,stop,0.0810035,
medium-3,3-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,6221.0674,1300,30,12,True,16171,0,,560,8094,1,stop,0.044492,
medium-4,4-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,5876.2004,1005,44,4,True,34782,0,,456,18910,3,stop,0.0887645,
medium-5,5-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,7863.868,1336,34,12,True,55991,0,,554,31756,5,stop,0.1420515,
medium-6,6-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,11725.1055,3238,53,21,True,24838,0,,1425,11426,3,stop,0.073488,
medium-7,7-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,6872.2186,1410,43,15,True,41256,0,,552,22490,4,stop,0.1054355,
medium-8,8-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,6770.3838,1378,48,9,True,40866,0,,525,22295,3,stop,0.104664,
medium-9,9-b2-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b2,9048.2917,2569,72,27,True,24232,12551,,975,7257,1,stop,0.0356222,
simple-1,1-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,4286.2921,409,20,3,True,48387,0,,167,29430,3,stop,0.1210395,
simple-10,10-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,9833.1296,2389,75,18,True,73280,0,,953,40224,6,stop,0.1872595,
simple-2,2-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,4276.576,443,16,5,True,9612,0,,194,4603,2,stop,0.025254,
simple-3,3-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,5058.351,725,29,6,True,30326,0,,305,16375,3,stop,0.0765605,
simple-4,4-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,5784.7092,1145,37,11,True,20786,0,,455,9167,2,stop,0.0536615,
simple-5,5-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,5236.9092,714,28,5,True,42853,0,,304,25384,3,stop,0.1083735,
simple-6,6-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,4150.6467,373,14,3,True,7488,0,,168,3145,2,stop,0.0195005,
simple-7,7-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,4031.6737,358,12,7,True,6632,0,,174,3137,1,stop,0.0177805,
simple-8,8-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,5194.9275,670,27,7,True,36264,0,,268,21343,2,stop,0.091747,
simple-9,9-b2-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b2,5664.881,1208,37,12,True,15567,0,,508,6386,2,stop,0.0415135,
hard-1,1-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,10169.7018,2153,66,15,True,29529,0,,831,11527,5,stop,0.076298,
hard-10,10-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,13042.8391,3392,131,20,True,46006,0,,1507,7071,3,stop,0.112732,
hard-2,2-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,6658.5476,1559,64,12,True,23549,0,,649,2483,1,stop,0.055765,
hard-3,3-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,9432.8501,1989,75,17,True,67921,0,,829,12942,5,stop,0.154059,
hard-4,4-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,9027.3013,2475,92,12,True,35317,11300,,993,7071,3,stop,0.060224,
hard-5,5-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,9664.7534,2716,66,28,True,21146,0,,1018,6819,3,stop,0.058059,
hard-6,6-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,7894.372,580,28,3,True,16482,0,,266,5721,2,stop,0.0402,
hard-7,7-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,8850.0533,2087,73,13,True,28270,0,,915,5853,5,stop,0.070552,
hard-8,8-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,7797.7393,1807,53,24,True,16493,0,,771,5970,3,stop,0.0456465,
hard-9,9-b3-claude-sonnet-5-zero-shot.vue,hard,claude-sonnet-5,b3,9448.9241,2276,61,17,True,40277,0,,931,15478,8,stop,0.101994,
medium-1,1-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,7971.2245,1728,52,16,True,28525,0,,645,13115,5,stop,0.073807,
medium-10,10-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,5836.0023,974,32,12,True,11304,0,,393,4603,3,stop,0.0303765,
medium-2,2-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,10260.0923,3100,83,30,True,22332,0,,1193,1643,1,stop,0.058261,
medium-3,3-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,6197.0396,1315,30,12,True,6593,0,,563,1814,1,stop,0.020577,
medium-4,4-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,5362.6354,868,40,4,True,13104,0,,410,4538,3,stop,0.0341095,
medium-5,5-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,7773.3238,1402,40,13,True,22716,0,,560,9981,5,stop,0.058924,
medium-6,6-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,11471.0417,3368,57,23,True,10467,0,,1433,2582,3,stop,0.0376405,
medium-7,7-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,8446.2452,1248,40,15,True,15129,0,,538,5319,4,stop,0.039978,
medium-8,8-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,5683.8892,1215,47,9,True,13943,0,,464,4987,3,stop,0.0367465,
medium-9,9-b3-claude-sonnet-5-zero-shot.vue,medium,claude-sonnet-5,b3,10531.2684,2557,72,27,True,15015,3334,,981,1643,1,stop,0.0338388,
simple-1,1-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,4267.0538,551,26,3,True,22207,0,,225,11981,3,stop,0.0561695,
simple-10,10-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,12088.7816,2183,71,17,True,28296,0,,880,11011,6,stop,0.0740695,
simple-2,2-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,4085.6304,555,19,6,True,3251,0,,240,721,2,stop,0.0098115,
simple-3,3-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,4013.1111,549,23,3,True,13945,0,,239,5782,3,stop,0.034948,
simple-4,4-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,5203.2306,1145,37,11,True,8430,0,,455,1304,2,stop,0.0227715,
simple-5,5-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,4375.4578,676,25,5,True,16413,0,,294,8006,3,stop,0.0421735,
simple-6,6-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,3769.67,428,15,4,True,3457,0,,196,638,2,stop,0.009703,
simple-7,7-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,3615.0467,358,12,7,True,2483,0,,174,441,1,stop,0.007408,
simple-8,8-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,4576.3178,636,25,7,True,15335,0,,248,7476,2,stop,0.0392245,
simple-9,9-b3-claude-sonnet-5-zero-shot.vue,simple,claude-sonnet-5,b3,6098.4659,1184,37,12,True,7081,0,,508,992,2,stop,0.0202985,
hard-1,1-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,14037.9753,3183,90,20,True,8078,0,,1368,0,0,stop,0.045761875,
hard-10,10-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,18049.7921,4391,162,21,True,22479,0,,1688,0,0,stop,0.095565,
hard-2,2-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,11930.4221,2301,97,12,True,13044,0,,1126,0,0,stop,0.057650625,
hard-3,3-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,25070.8561,3348,106,14,True,31941,0,,1928,0,0,stop,0.12873375,
hard-4,4-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,24144.6776,4113,147,12,True,15999,0,,2182,0,0,stop,0.082725,
hard-5,5-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,32920.0468,5004,108,25,True,6855,0,,2883,0,0,stop,0.064665,
hard-6,6-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,103882.216,2656,85,8,True,5342,0,,1625,0,0,stop,0.041066875,
hard-7,7-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,35401.7663,3691,100,33,True,12744,0,,1204,0,0,stop,0.057883125,
hard-8,8-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,14438.4429,2479,63,22,True,4798,0,,919,0,0,stop,0.028776875,
hard-9,9-b1-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b1,21008.4894,3180,94,17,True,10852,0,,1842,0,0,stop,0.061540625,
medium-1,1-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,12740.4113,2281,74,16,True,5675,0,,1164,0,0,stop,0.0351925,
medium-10,10-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,4649.2727,1081,33,10,True,2853,0,,295,0,0,stop,0.01333875,
medium-2,2-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,19916.9452,4749,127,40,True,12943,0,,2002,0,0,stop,0.070475,
medium-3,3-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,3448.4241,1469,36,12,True,2488,0,,318,0,0,stop,0.012543125,
medium-4,4-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,19020.9951,1380,61,8,True,4156,0,,1298,0,0,stop,0.032455625,
medium-5,5-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,17183.8183,1493,42,10,True,5012,0,,926,0,0,stop,0.029550625,
medium-6,6-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,14563.0646,2090,51,16,True,4165,0,,1055,0,0,stop,0.02883875,
medium-7,7-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,8755.6591,1719,51,14,True,4742,0,,775,0,0,stop,0.026441875,
medium-8,8-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,11060.5958,1502,51,9,True,4159,0,,937,0,0,stop,0.02705,
medium-9,9-b1-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b1,16925.3485,3387,105,27,True,8152,0,,1358,0,0,stop,0.045843125,
simple-1,1-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,2957.2229,525,27,3,True,2559,0,,142,0,0,stop,0.010125,
simple-10,10-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,21483.1674,2549,85,13,True,8042,0,,1572,0,0,stop,0.048709375,
simple-2,2-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,1817.7621,570,22,5,True,1436,0,,182,0,0,stop,0.007215625,
simple-3,3-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,11362.0098,522,22,3,True,3607,0,,667,0,0,stop,0.021275,
simple-4,4-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,14079.354,1626,61,11,True,4458,0,,956,0,0,stop,0.028269375,
simple-5,5-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,2189.0543,1008,43,5,True,2892,0,,222,0,0,stop,0.012365625,
simple-6,6-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,1979.5771,473,19,3,True,1689,0,,127,0,0,stop,0.00718125,
simple-7,7-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,6149.1382,321,12,3,True,1202,0,,100,0,0,stop,0.005254375,
simple-8,8-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,9956.0986,929,37,6,True,2582,0,,769,0,0,stop,0.019601875,
simple-9,9-b1-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b1,3310.0188,1130,37,12,True,3893,0,,340,0,0,stop,0.01726375,
hard-1,1-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,21339.2866,5424,115,17,True,54600,0,,2056,46713,5,stop,0.201463125,
hard-10,10-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,34394.2065,4525,116,21,True,59659,0,,1592,39206,3,stop,0.2103125,
hard-2,2-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,13145.4885,2739,89,13,True,32070,0,,1052,20668,1,stop,0.115996875,
hard-3,3-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,18974.0543,2714,84,13,True,82043,0,,1135,51397,5,stop,0.2734075,
hard-4,4-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,19552.2006,4084,121,11,True,53179,37582,,1503,39206,3,stop,0.08067925,
hard-5,5-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,36844.6407,4448,92,30,True,38067,0,,1454,31603,3,stop,0.1407675,
hard-6,6-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,14190.6579,881,35,3,True,23216,0,,732,17949,2,stop,0.083528125,
hard-7,7-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,30892.257,6688,137,36,True,37788,0,,2330,25693,5,stop,0.153035625,
hard-8,8-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,15352.3133,2595,61,21,True,27262,0,,1439,23361,3,stop,0.106776875,
hard-9,9-b2-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b2,26942.5387,5596,134,21,True,67940,0,,2357,57675,8,stop,0.247665625,
medium-1,1-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,7554.8861,2907,79,16,True,40657,0,,835,35276,5,stop,0.13957625,
medium-10,10-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,4275.1398,1890,49,13,True,19715,0,,392,17281,3,stop,0.0674875,
medium-2,2-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,23824.9497,6077,121,40,True,19666,0,,2114,7257,1,stop,0.093164375,
medium-3,3-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,73147.1529,1587,32,10,True,9294,0,,671,8094,1,stop,0.039106875,
medium-4,4-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,12145.7596,1489,56,7,True,23054,0,,882,18910,3,stop,0.085271875,
medium-5,5-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,23856.5118,1941,47,12,True,36526,0,,1385,31756,5,stop,0.134916875,
medium-6,6-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,19809.818,2337,48,15,True,15115,0,,949,11426,3,stop,0.0614675,
medium-7,7-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,9386.4551,2042,51,15,True,26573,0,,916,22490,4,stop,0.09677875,
medium-8,8-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,9023.8101,1833,52,9,True,25972,0,,867,22295,3,stop,0.094165625,
medium-9,9-b2-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b2,15139.1559,3568,78,27,True,14875,7125,,1214,7257,1,stop,0.044208125,
simple-1,1-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,3945.2343,526,23,3,True,32077,0,,138,29430,3,stop,0.10230875,
simple-10,10-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,31875.8919,2659,74,15,True,47441,0,,1147,40224,6,stop,0.16545625,
simple-2,2-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,4198.3852,1087,39,5,True,6250,0,,224,4603,2,stop,0.022889375,
simple-3,3-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,10497.5755,2044,67,3,True,20069,0,,755,16375,3,stop,0.07403875,
simple-4,4-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,7662.5969,1633,61,11,True,13048,0,,686,9167,2,stop,0.051063125,
simple-5,5-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,2207.4566,903,31,5,True,28014,0,,217,25384,3,stop,0.090796875,
simple-6,6-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,2715.0643,639,28,5,True,4736,0,,180,3145,2,stop,0.017498125,
simple-7,7-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,25569.7052,359,12,3,True,4223,0,,106,3137,1,stop,0.014785,
simple-8,8-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,8444.7205,1004,27,7,True,23928,0,,259,21343,2,stop,0.078658125,
simple-9,9-b2-gpt-5.6-terra-zero-shot.vue,simple,gpt-5.6-terra,b2,16879.9253,1984,81,12,True,9983,0,,1048,6386,2,stop,0.046915,
hard-1,1-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,12447.9897,2824,78,16,True,20064,0,,1122,11527,5,stop,0.079528125,
hard-10,10-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,21600.0533,5900,171,21,True,29751,0,,2220,7071,3,stop,0.12627,
hard-2,2-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,13709.1768,2163,83,13,True,15429,0,,1036,2483,1,stop,0.06375375,
hard-3,3-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,29352.3297,2679,78,11,True,45233,0,,1141,12942,5,stop,0.15846625,
hard-4,4-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,22188.4871,5023,126,12,True,23271,7674,,2249,7071,3,stop,0.08439225,
hard-5,5-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,15034.7898,5153,107,25,True,13864,0,,1527,6819,3,stop,0.066228125,
hard-6,6-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,12439.1077,1978,76,7,True,11245,0,,1039,5721,2,stop,0.05072375,
hard-7,7-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,16601.8982,5919,126,39,True,18877,0,,1767,5853,5,stop,0.08549375,
hard-8,8-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,13136.6208,2692,66,21,True,10949,0,,1228,5970,3,stop,0.05263375,
hard-9,9-b3-gpt-5.6-terra-zero-shot.vue,hard,gpt-5.6-terra,b3,12126.6046,3595,121,20,True,27128,0,,1334,15478,8,stop,0.104783125,
medium-1,1-b3-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b3,17717.0217,2613,68,16,True,19677,0,,1137,13115,5,stop,0.07854375,
medium-10,10-b3-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b3,16557.9424,1398,36,13,True,7751,0,,323,4603,3,stop,0.029065,
medium-2,2-b3-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b3,16694.9632,4531,113,41,True,14465,0,,1647,1643,1,stop,0.06990625,
medium-3,3-b3-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b3,20035.9952,1820,40,12,True,4075,0,,690,1814,1,stop,0.0230825,
medium-4,4-b3-gpt-5.6-terra-zero-shot.vue,medium,gpt-5.6-terra,b3,31250.896,1724,60,10,True,9032,0,,1825,4538,3,stop,0.055598125,
